#TAG,NAME IN REPO (or git url),PURPOSE
,base-devel,"Essential tools needed for building and compiling software packages"
,xorg-server,"Is the graphical server"
,xorg-xinit,"Starts the graphical server"
,xorg-xsetroot,"Customize bar"
,xorg-xrandr,"Manage display configuration"
,xclip,"Interacting with the X11 clipboard on Arch Linux"
,pipewire,"Audio server"
,pulsemixer,"Is an audio controller"
,libnotify,"Allows desktop notifications"
,mpd,"Music daemon"
,mpc,"Terminal interface for mpd"
,mpv,"Video player"
,ncmpcpp,"Featureful ncurses based MPD client inspired by ncmpc"
,cava,"Music viz"
,vim,"Text Editor"
,feh,"Wallpaper configuration"
,dunst,"Notifier"
,sxhkd,"For hotkeys"
,alacritty,"Terminal emulator"
,tmux,"Terminal multiplexer"
,picom,"Compositor"
,zsh,"Shell"
,maim,"For printscreen"
,ttf-jetbrains-mono-nerd,"Font"
,eza,"List files better than ls"
,pacman-contrib,"Contributed scripts and tools designed to extend the functionality of pacman"
,man-db,"Manual databases"
,nsxiv,"Image viewer"
,fastfetch,"System information tool"
,htop,"Interactive process viewer"
,fzf,"Command line fuzzy finder"
,ly,"Simple login manager"
y,pywal,"For color schemes"
y,tty-clock,"A tty clock"
y,lf-git,"terminal file manager"
